"name","activation","pool","batch_norm","dropout","augment","loss","accuracy","precision_macro","recall_macro","f1_macro","seconds"
"aug_bn_dropout_relu_max","relu","max","True","0.35","True","1.2848067302703858","0.519","0.5623956274153433","0.5189999999999999","0.5216069041991285","229.47532868385315"
"baseline_relu_max","relu","max","False","0.0","False","1.519676651954651","0.415","0.43835228597684595","0.41500000000000004","0.4170000130274702","134.98778080940247"
"sigmoid_max_bn_dropout","sigmoid","max","True","0.35","True","1.6958823308944702","0.344","0.3950638382090276","0.34400000000000003","0.31859432204824295","188.68596053123474"
"tanh_avg_bn_dropout","tanh","avg","True","0.35","True","1.7564411954879762","0.356","0.36331348568020055","0.356","0.32593976701616","372.70578718185425"
